Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-01-24,943.50294,950.0,903.4,917.05879,5810.18786926,5354994.03261,921.655917692
2014-01-23,951.00001,958.99999,937.12135,945.0,1562.13261036,1481268.01067,948.234484608
2014-01-22,970.57947,974.0,935.0,951.0,4322.79359575,4103109.16585,949.179986266
2014-01-21,959.49999,974.4,943.32,962.36655,5988.51609182,5766197.51723,962.875849178
2014-01-20,954.99999,980.59324,926.0,956.00002,10274.0627051,9858099.84529,959.513303382
2014-01-19,906.0,958.24,902.01,954.995,7460.04640458,6969555.38103,934.250942025
2014-01-18,894.9191,925.0,885.0,906.005,5755.52009154,5247377.78536,911.712182722
2014-01-17,914.0,930.0,867.43,894.4,9858.97628093,8822154.67751,894.834760336
2014-01-16,948.995,956.06,911.01001,914.0,4702.79776713,4367877.77826,928.782821322
2014-01-15,920.0,973.2,915.15,941.31001,6443.14116118,6109243.93398,948.177881122
2014-01-14,925.9,943.0,905.0,920.0,3891.44440528,3591968.03626,923.042362211
2014-01-13,940.0,949.47573,880.11,923.1001,9667.13957118,8815713.4722,911.925746731
2014-01-12,1005.50001,1022.99,922.3,940.0,9818.81753638,9515044.4302,969.06214979
2014-01-11,957.573,1011.0,935.13,1005.5,10919.5272841,10706210.1802,980.464621006
2014-01-10,935.0,964.99,906.0,957.89998,6000.45174089,5605099.46528,934.112914714
2014-01-09,933.015,964.69663,866.58247,937.0,14051.5378092,12889230.697,917.282568785
2014-01-08,884.0,966.9963,859.0,939.0,13749.6430059,12643822.2711,919.574585731
2014-01-07,1012.88,1044.2,880.0,880.0,22263.9752165,21388990.0933,960.699510547
2014-01-06,1015.0,1093.68199,965.0,1012.89899,22630.1658324,23190399.3805,1024.75605138
2014-01-05,929.89997,1029.98765,911.58,1015.0,21223.7494175,20650812.9397,973.004935814
2014-01-04,884.88299,932.37989,848.47873,924.92499,13956.5133899,12544052.7579,898.795595113
2014-01-03,859.0,888.8,840.0,884.888,9294.22526628,8061998.99753,867.420227782
2014-01-02,812.58795,886.31309,810.5601,857.0,12414.2687745,10505152.3417,846.215957823
2014-01-01,806.01002,830.0,771.0,815.995,10688.0304892,8607372.97824,805.32825827
2013-12-31,804.87492,813.99999,777.0,806.00503,8836.73247486,7037218.2686,796.359773098
2013-12-30,789.995,818.888,781.0,804.87996,10027.3936299,8054469.04228,803.246520439
2013-12-29,767.0,804.0,735.0,785.00501,6940.1423117,5370367.59677,773.81231617
2013-12-28,803.23,806.0,715.6,762.005,13149.1830823,9976713.28103,758.732555368
2013-12-27,807.0,837.0,768.0,803.23,13466.8848643,10752491.6354,798.439412213
2013-12-26,707.3,829.8,707.3,802.11,23193.3369873,17954026.5968,774.102778162
2013-12-25,696.86,710.0,674.0,707.3,5270.69537607,3669393.68413,696.187774537
2013-12-24,716.99999,729.99174,666.01,702.8,10677.145204,7460474.08373,698.733035955
2013-12-23,639.47998,725.0,631.00001,713.34506,14666.8953898,9934026.92983,677.309455464
2013-12-22,636.09001,700.0,615.0,639.48,11501.3296911,7603966.92558,661.138070972
2013-12-21,649.393,689.99,610.0,640.5,14441.4844902,9356525.82134,647.892245959
2013-12-20,730.0,774.47,621.25001,650.0,34364.2694429,23999605.6636,698.388356645
2013-12-19,541.21,746.0,522.44,731.98999,45305.8051973,29663995.6949,654.750435749
2013-12-18,715.0,717.015,455.0,541.00001,109722.893805,62048984.5752,565.506271513
2013-12-17,760.0,780.0,678.8904,715.0,31284.062734,22608843.5824,722.695251401
2013-12-16,916.0,925.0,714.11,760.0,40795.6522351,32476301.7776,796.072620447
2013-12-15,900.005,928.0,838.0201,920.0,15038.5726568,13186844.805,876.868111484
2013-12-14,943.39623,948.0,875.13535,908.98998,11406.7943547,10359533.492,908.189730594
2013-12-13,899.9999,990.0,882.15864,936.87547,17088.9159895,15910804.4985,931.059905041
2013-12-12,908.00003,941.0,839.5,899.9999,9649.92826161,8553071.8105,886.335274069
2013-12-11,1026.00001,1056.9,856.123,920.0,23949.5115355,22661100.5734,946.203037995
2013-12-10,915.935,1067.99999,912.0,1033.975,21706.6700256,21340424.3255,983.127504141
2013-12-09,810.98,980.17661,787.75,918.99,27226.9953821,24179362.9936,888.065783766
2013-12-08,693.25256,829.0,653.0001,804.00001,31105.7758825,22961371.6505,738.170677282
2013-12-07,846.0,895.89,576.0,696.99999,97325.907905,70458455.4694,723.943469791
2013-12-06,1106.899,1118.989,800.0,845.0,53161.1105241,50399613.1289,948.054181562
2013-12-05,1230.005,1240.0,870.001,1106.4345,57982.8620039,61804648.2452,1065.91234219
2013-12-04,1155.0,1240.0,1131.72718,1237.955,15885.3098752,18947255.3884,1192.75327565
2013-12-03,1099.9,1185.77338,1065.0,1155.0,18945.1599572,21435545.4678,1131.45233486
2013-12-02,1005.0,1117.79999,975.0,1096.63251,36675.4744685,38845192.5086,1059.1599174
2013-12-01,1206.00001,1216.9,840.32,1004.42392,79772.6971163,83086786.6834,1041.54415843
2013-11-30,1205.0,1233.0,1150.25,1205.8,14782.9593317,17886454.2001,1209.93732031
2013-11-29,1101.42,1242.0,1050.0,1206.97761,38295.195664,44555938.9434,1163.48638963
2013-11-28,1087.94315,1224.59998,1032.15,1101.47497,37215.1225979,42727152.199,1148.11262778
2013-11-27,970.0,1094.794,914.31556,1080.0,37306.2406261,37321053.7461,1000.39706815
2013-11-26,829.995,975.0,825.1,970.0,31183.0775912,27905311.1525,894.886371329
2013-11-25,795.00166,850.0,758.95852,830.0,25978.2948022,21099945.0479,812.214397001
2013-11-24,839.99,855.0,745.2,795.0,25843.7279208,20686216.586,800.43469926
2013-11-23,802.0,889.99999,799.60484,832.524,20952.7576776,17609317.8495,840.429604564
2013-11-22,768.99999,821.999,682.3,802.0,29655.7314835,22307022.3907,752.199365006
2013-11-21,630.12001,784.4444,595.21,765.10001,38191.5670643,26748978.8796,700.389665459
2013-11-20,643.00001,650.0,453.29,638.0,91019.9658179,50391282.6654,553.628890239
2013-11-19,785.50007,900.97998,502.6212,645.71675,98637.1346228,68768815.2294,697.18991222
2013-11-18,528.0,788.0,522.0,785.50007,71436.4168809,45079283.9766,631.04066448
2013-11-17,458.95149,536.777,457.0,528.31991,26509.6640199,13242526.6867,499.535817459
2013-11-16,434.0,477.0,428.01172,461.9999,18664.1409741,8527635.05357,456.899412911
2013-11-15,433.4,458.0,413.05,434.0,27269.0908379,11898612.6026,436.340641985
2013-11-14,434.87499,447.49999,402.54,433.4,30773.2792702,13184591.7258,428.442858172
2013-11-13,380.25003,445.0,372.183,434.87999,35274.2716293,14480339.5392,410.507116669
2013-11-12,362.99999,391.52574,359.02,380.1,21029.6532015,7937468.74754,377.441732943
2013-11-11,341.0302,376.0,321.41,363.0,17785.2513455,6255033.51005,351.697785346
2013-11-10,365.12,372.5,290.0,336.33101,74095.6795687,24174067.0828,326.254745534
2013-11-09,355.06361,395.0,340.0,367.8,49272.4620842,18199556.2766,369.365676218
2013-11-08,309.99999,358.0,308.01001,355.0,43831.6092241,14805767.3886,337.78744725
2013-11-07,264.11,324.198,263.60001,309.659,85178.5930513,25293726.9338,296.949339356
2013-11-06,251.4134,272.52,251.4134,264.1,37807.2448226,9944331.95615,263.027152675
2013-11-05,238.19039,258.87626,229.0,251.3,44067.2597879,10833235.3331,245.834104169
2013-11-04,224.7,239.02,222.0,238.19039,16899.8366999,3895904.6893,230.529132232
2013-11-03,212.2,226.959,212.105,224.01001,12032.8438721,2641482.54371,219.522713981
2013-11-02,213.50003,214.87996,211.02,211.70001,4375.23265398,932092.248103,213.038327746
2013-11-01,211.20177,215.0,209.76,213.5,4884.45010394,1039764.66821,212.872410627
2013-10-31,206.0,215.0,205.43565,211.1714,4608.29256087,976625.581483,211.927860174
2013-10-30,215.502,216.5,204.0,208.0,12582.4665823,2654807.09877,210.992580939
2013-10-29,207.5,216.5,204.20001,216.0,8958.38731688,1892602.50944,211.265983764
2013-10-28,207.5,209.79,200.42,206.9,10041.1587239,2072651.32074,206.415552003
2013-10-27,189.92363,207.9,189.0,207.0001,12904.9348382,2578681.55118,199.821353886
2013-10-26,197.19879,198.42679,187.0,188.56002,11593.2270708,2227101.45096,192.103668579
2013-10-25,206.985,209.0,176.60399,197.90999,35744.0375604,6740413.02179,188.574472327
2013-10-24,227.99997,233.4,175.30001,206.995,95972.9732155,19489369.7351,203.071438574
2013-10-23,203.99829,228.0,200.75,228.0,38958.6581967,8332514.78266,213.880948892
2013-10-22,192.795,205.5,192.795,203.0,32953.9859092,6582493.64575,199.748026351
2013-10-21,186.12,197.39005,183.2,192.795,22991.3305535,4406343.30826,191.652383841
2013-10-20,180.80004,186.12,177.25,186.12,11174.8716485,2043935.17113,182.904576932
2013-10-19,168.2,195.83267,167.1,183.17999,54485.2000397,9865972.87724,181.076198125
2013-10-18,158.25323,168.3,156.5,168.3,24861.1112046,4061489.24426,163.367164518
2013-10-17,151.645,159.95,150.75471,157.60001,15093.8467075,2350949.12215,155.755465635
2013-10-16,158.1,163.0,144.20004,152.83,41433.5769099,6434985.71443,155.308476708
2013-10-15,150.6295,158.1,150.628,158.1,14282.4518786,2204254.58457,154.333065731
2013-10-14,147.53,153.69902,146.03267,151.38003,29438.930402,4432598.32193,150.569272097
2013-10-13,142.61096,147.65,141.50021,147.53,15998.5149033,2317585.06151,144.862512272
2013-10-12,141.7929,143.0571,139.4,142.89995,10622.026918,1504393.70185,141.629626196
2013-10-11,141.41,141.85,138.87001,140.1,6280.51110682,883230.517777,140.63035679
2013-10-10,139.42001,141.69,138.51,140.41013,10157.6385171,1428027.91502,140.586605107
2013-10-09,136.50998,142.1,135.8,139.5,16615.1752057,2314148.32467,139.279200852
2013-10-08,136.82274,137.79499,135.66,136.50002,4157.41019517,568230.665074,136.67899928
2013-10-07,137.01002,139.0,135.12,135.80001,6405.77673665,878670.987072,137.168531342
2013-10-06,136.73026,138.0,134.1,137.8,4660.12778484,634030.995983,136.054422809
2013-10-05,136.82222,138.0,135.3,136.69511,4479.66719631,611381.978185,136.479330136
2013-10-04,130.97902,139.8,128.5,136.82222,17710.2452671,2387682.76294,134.819293969
2013-10-03,123.0,132.0,120.1,130.98925,34445.5676972,4386579.60145,127.348158114
2013-10-02,140.30001,141.92999,109.7,123.0,110147.639626,13742025.5096,124.76005438
2013-10-01,143.28122,144.44,139.41,140.3,7709.56774703,1092164.83213,141.663562468
2013-09-30,143.89402,145.81,138.12,141.8965,12845.1195708,1825855.16507,142.143882352
2013-09-29,142.49,145.81,141.36005,143.88402,17790.5994571,2567567.39016,144.321578166
2013-09-28,138.93,143.0,138.02021,142.5,12989.2767634,1827958.47572,140.728272175
2013-09-27,135.85005,142.66,134.82811,138.93,25900.1908348,3593626.81315,138.749047684
2013-09-26,135.00135,139.0,134.71,137.10002,5222.83803702,712709.650766,136.460224444
2013-09-25,134.77898,138.0,134.7,135.0,8243.78503955,1122963.75297,136.219436532
2013-09-24,133.4,136.59141,132.5,134.7788,6929.8703802,932097.518525,134.504322215
2013-09-23,134.9,135.0,132.0,133.4,4464.49340033,596235.696213,133.550582955
2013-09-22,134.33795,135.0,131.0,134.00001,5570.74042551,739648.902606,132.773894691
2013-09-21,133.80726,135.99,132.0,134.38,4441.24753163,594385.985215,133.833113552
2013-09-20,135.89477,137.28,131.0,133.80726,9923.6707145,1334825.54743,134.50925427
2013-09-19,140.41234,141.2,131.14,135.05037,19769.4464135,2695293.88691,136.336335907
2013-09-18,139.15002,142.0,139.01001,140.41238,8189.60821198,1148501.39074,140.238868699
2013-09-17,139.01,141.37,138.0,139.15001,8242.27003313,1149306.12152,139.440483859
2013-09-16,138.4,142.23,137.9,139.41938,9267.73564567,1295814.54187,139.819972366
2013-09-15,136.71627,141.0,135.04,138.3002,6197.92329567,852533.922552,137.551544587
2013-09-14,140.66,142.0,136.5,136.7149,8361.59516402,1162873.31447,139.073142344
2013-09-13,138.37013,145.60414,137.82,140.66,18892.2735161,2701141.01674,142.975963927
2013-09-12,142.1,145.51679,137.51,139.35499,19360.4799121,2726354.35827,140.820597973
2013-09-11,132.61636,145.9,127.5,142.1,40468.7775001,5561047.26437,137.415746358
2013-09-10,133.1,136.02,131.375,132.61636,7833.10006064,1046934.16799,133.655150564
2013-09-09,126.31502,137.48007,124.0,133.1,28172.6210461,3713063.36874,131.796873378
2013-09-08,128.5,129.86999,124.06,126.31501,7127.43201276,898013.726474,125.994008062
2013-09-07,122.41,131.02499,121.25,128.99496,13551.300857,1711444.13475,126.293715475
2013-09-06,131.65,133.99999,121.9,121.9,18159.8175497,2306510.21395,127.011750401
2013-09-05,132.51,137.97,127.24164,130.20002,25687.3949957,3388171.05444,131.900142269
2013-09-04,144.0,145.8,130.08998,132.51,27617.9571232,3789771.8156,137.221294055
2013-09-03,144.0,148.90893,142.2,144.0,15761.4693531,2289067.06184,145.231831536
2013-09-02,146.01005,148.5,142.11,144.0,10444.5145401,1515953.55361,145.143515076
2013-09-01,141.0,147.29,141.0,146.01003,13933.3784661,2012831.97045,144.461156735
2013-08-31,138.03002,148.7,135.89,141.0,30617.8002703,4379539.8553,143.039010531
2013-08-30,129.30033,142.76173,128.56,138.03002,44989.7539018,6130666.31188,136.268056173
2013-08-29,128.57206,131.2,128.18,129.30034,7362.92437175,950327.421355,129.06929005
2013-08-28,130.20501,131.72442,128.02,128.76,11556.0880768,1498911.32744,129.707502874
2013-08-27,120.1,133.0,120.0,131.295,52815.7304367,6753064.34921,127.860853071
2013-08-26,122.111,122.96996,119.91611,120.07,10115.2755731,1226894.27614,121.291235941
2013-08-25,119.60255,122.99,119.14,122.11102,7101.52481065,864221.290203,121.695172973
2013-08-24,118.51003,121.39,118.02,119.60255,8370.82050358,1001638.15975,119.658301037
2013-08-23,121.99993,122.0,118.444,118.51002,18231.2516196,2180668.60044,119.611568418
2013-08-22,123.13496,124.49,120.54,121.99994,12815.3886876,1563933.74381,122.035607497
2013-08-21,121.20003,125.0,119.68162,123.30002,29616.9148976,3637947.81968,122.833449475
2013-08-20,119.0,123.01111,116.817,121.20001,23213.8588757,2803868.52926,120.7842498
2013-08-19,113.395,123.74518,111.771,118.50203,51420.134924,6088398.46928,118.404949312
2013-08-18,112.76,114.69,112.0,113.38,9324.88050685,1059845.22958,113.657781331
2013-08-17,108.99499,114.0,108.225,112.75,12258.6584747,1373044.64881,112.006109938
2013-08-16,109.10523,112.3,108.21,108.99438,12567.4761224,1378751.98441,109.707945412
2013-08-15,112.56206,113.321,108.78,109.99497,14794.8210623,1643457.67223,111.083308498
2013-08-14,109.42519,115.0,108.0,112.56205,49406.6795257,5567652.07409,112.690270375
2013-08-13,106.98999,109.64,104.5,109.6,17808.4672854,1912320.24787,107.382640922
2013-08-12,105.0,108.121,103.5,106.81349,19141.5953855,2030771.26957,106.092059135
2013-08-11,102.99999,105.19,102.7,105.0,7870.90128899,820721.721248,104.272902316
2013-08-10,102.38002,103.89999,102.38001,102.99999,3411.33361023,351636.3703,103.078857267
2013-08-09,103.07,105.78999,101.935,102.8,10979.3869889,1133150.52593,103.207084974
2013-08-08,105.98992,106.65,100.95969,103.05,23221.2861933,2397802.03014,103.258794977
2013-08-07,106.5564,106.96,105.22,105.98993,6791.44510279,719935.224227,106.006190631
2013-08-06,106.22002,107.5,105.11111,106.55641,12234.5654344,1301008.13249,106.338728536
2013-08-05,105.12,107.77,105.0,106.72001,14507.9305418,1543737.66765,106.406469427
2013-08-04,104.9,106.0,103.50108,105.12,6101.207154,639772.273294,104.859949375
2013-08-03,104.6,105.8852,102.0,104.95,8342.91897611,866021.178411,103.803139032
2013-08-02,104.62049,108.0,101.21111,104.50102,26584.84983,2793208.55865,105.067682402
2013-08-01,106.22691,108.0,103.0,104.0,13994.4918679,1473502.39842,105.291597031
2013-07-31,107.26367,111.65202,103.55,106.21188,44785.5950854,4838033.79846,108.026560532
2013-07-30,101.21001,107.99,100.47,107.96,26911.7736967,2793637.0165,103.807242435
2013-07-29,98.78009,102.85,98.45,101.484,23930.0236351,2412405.73711,100.810838046
2013-07-28,94.2,100.5771,94.0,98.78002,42022.3744009,4137932.55532,98.4697465174
2013-07-27,96.02015,97.0,93.0,94.4,14637.4790579,1383243.82094,94.5001400492
2013-07-26,96.99997,97.476,96.0,96.02015,10435.7959886,1004832.5759,96.2871042134
2013-07-25,95.09,97.4767,93.57,96.95,21666.3701653,2086771.4617,96.3138470259
2013-07-24,95.61155,95.99,92.3,95.08999,13827.2039573,1304035.34497,94.3094026096
2013-07-23,91.601,97.13124,91.60001,95.55851,23790.4206968,2251574.54915,94.6420653022
2013-07-22,91.98,92.0,89.8,91.601,8215.90226022,751344.121113,91.4499828888
2013-07-21,89.94998,92.0,88.0,91.998,8614.05186903,769333.681577,89.3114753979
2013-07-20,92.0,93.10072,89.27,89.82138,9066.00458489,829452.961392,91.490463481
2013-07-19,90.08,95.2001,87.6,92.0,26957.5473268,2474448.15125,91.7905520578
2013-07-18,98.50002,98.8,86.2,90.06889,58919.2520399,5358091.04849,90.9395632663
2013-07-17,96.97,100.0,96.18,98.50001,16680.4243581,1642097.59691,98.4445935943
2013-07-16,98.89999,100.7319,96.0,97.1,15900.4262777,1560692.6967,98.1541418729
2013-07-15,94.33999,101.94,93.11,98.89028,34121.7421857,3366165.01947,98.651616355
2013-07-14,98.32,99.0,92.86,94.41986,12218.467306,1171458.48446,95.8760583571
2013-07-13,93.98994,98.32,87.76404,98.32,34261.1517546,3186590.73758,93.0088620604
2013-07-12,88.97901,104.17188,88.0,93.98994,101213.4532,9759561.48372,96.4255360839
2013-07-11,87.94636,90.7,85.00001,88.97901,35244.0091199,3084484.63546,87.5179842613
2013-07-10,76.7,89.84,75.53,88.0,59672.7081738,4916740.89014,82.3951357432
2013-07-09,76.00101,78.3,72.51,76.7,32217.3970974,2437106.04441,75.6456530936
2013-07-08,76.5,80.0,72.46,76.00003,58514.6413502,4503253.4524,76.959430127
2013-07-07,69.66206,77.0,66.60001,76.5,42847.0181781,3032307.78925,70.7705674324
2013-07-06,68.88997,74.99997,66.8119,69.655,40793.4213842,2866037.14961,70.257336903
2013-07-05,80.04214,80.60299,65.42448,68.50001,90767.5308438,6454413.41827,71.1092761725
2013-07-04,78.20001,84.27001,72.0,80.03565,63440.3708425,4966499.63946,78.2861066779
2013-07-03,90.04007,91.2,76.0,78.89,73017.0637195,6073317.69222,83.1766902536
2013-07-02,88.04,92.57,87.51,90.40502,27396.3824307,2466507.42802,90.0304058123
2013-07-01,97.50888,98.1801,86.011,88.05,52796.1989522,4817325.35564,91.2437912434
2013-06-30,94.999,98.12228,93.85,97.51,8488.31723474,822038.903664,96.8435652122
2013-06-29,94.7,100.4398,93.0,94.999,25419.6260458,2457873.24169,96.6919512216
2013-06-28,101.60626,101.78799,92.25,94.66,47455.0882822,4594020.57381,96.8077552924
2013-06-27,103.99999,104.0,100.055,101.73678,14516.4612223,1481838.89039,102.079898654
2013-06-26,103.84,105.4899,101.8322,104.0,13074.0091946,1361155.00788,104.111522917
2013-06-25,102.97996,109.98,100.0,103.32933,93495.8671821,9737161.74024,104.145370632
2013-06-24,107.60002,108.334,100.761,102.09,28755.7205773,2970209.43302,103.291079945
2013-06-23,108.00003,109.0,106.19675,107.90001,10974.2121545,1179572.74491,107.485870356
2013-06-22,108.9,109.95653,107.5111,108.2,7196.64828927,781056.973323,108.530657874
2013-06-21,111.09999,115.005,107.56,109.5,37916.6133162,4221551.73966,111.337784956
2013-06-20,108.25,114.48,107.12222,111.29,42909.5304655,4774161.10478,111.261089389
2013-06-19,107.05,110.9863,104.6603,108.251,17420.995307,1879212.3172,107.870548386
2013-06-18,101.95,113.3,101.03311,107.34998,60446.3058748,6491826.46663,107.398233402
2013-06-17,99.9,102.4,98.9,101.95,15024.7730098,1516435.36013,100.929002997
2013-06-16,99.79,101.7499,98.90017,99.9,8619.5818222,861313.230494,99.9251759843
2013-06-15,99.99999,103.7,97.5,99.8,22476.8411853,2257850.7937,100.452317792
2013-06-14,103.94895,104.7,97.1,100.0,35923.5252383,3615245.12181,100.637259229
2013-06-13,109.14444,110.3,100.3,103.949,30276.6627078,3186391.5754,105.24249671
2013-06-12,109.0,112.25,106.0,108.77592,17540.5363913,1916593.98776,109.266555195
2013-06-11,106.10002,109.6,103.23021,109.0,15933.447651,1704624.51586,106.984034667
2013-06-10,101.0,110.63051,95.0,106.35001,64125.6135396,6764668.73317,105.490900746
2013-06-09,107.89611,108.99,88.0,100.43743,149250.916236,14628128.8882,98.0103121445
2013-06-08,112.12,113.1862,107.0,107.89242,17113.5736341,1862090.61032,108.807818293
2013-06-07,118.02768,119.13333,106.15,111.0,65643.2840508,7357062.31784,112.076390208
2013-06-06,121.9,123.29999,117.0,118.9699,21921.9696742,2623564.81929,119.677422161
2013-06-05,121.39997,123.5,119.5,121.90001,16591.6907147,2015275.84384,121.462958688
2013-06-04,121.21357,123.99,118.78525,121.39997,21749.7255258,2633256.93828,121.070812372
2013-06-03,122.49962,122.78483,115.111,120.73716,28795.289136,3426873.39705,119.008125977
2013-06-02,129.2981,130.1,115.0,122.5,101114.737784,12332357.6244,121.96399748
2013-06-01,128.82506,129.78999,127.10001,129.3,6309.9210657,810240.475828,128.407386937
2013-05-31,128.8,130.0,126.33,128.81505,16466.870873,2110227.33802,128.149868563
2013-05-30,132.25,132.4,126.5,128.79901,24566.4530721,3179031.5989,129.405396439
2013-05-29,128.99901,132.71988,127.6,132.25,19177.3106541,2500237.39469,130.374766294
2013-05-28,129.76994,130.62998,125.4,128.99996,22748.6980331,2911329.39224,127.97784682
2013-05-27,133.5,135.47,124.0,129.76999,46796.5852778,6052716.47032,129.340985766
2013-05-26,131.986,136.0,130.61,133.5,23327.2141708,3126240.29398,134.016872786
2013-05-25,133.4,133.5,128.2,131.986,16816.5773345,2200845.28886,130.873556794
2013-05-24,126.3,133.98,125.35502,133.1,48649.9879005,6317090.66174,129.84773346
2013-05-23,123.80001,126.93446,123.0,126.3,22045.4981967,2762861.55498,125.325430631
2013-05-22,122.89001,124.5,122.0,123.8,18198.480632,2238395.81067,122.999048983
2013-05-21,121.99999,123.08085,121.1,122.89001,13313.6735112,1628026.66792,122.28230372
2013-05-20,122.5,123.69,120.1,122.02,17238.1178932,2108418.93714,122.311435053
2013-05-19,123.25,124.50101,119.5,122.5,20478.4321629,2495650.34122,121.86725631
2013-05-18,123.5,125.31189,122.25,123.211,22615.7190593,2800255.89297,123.819007728
2013-05-17,118.21,125.5555,116.5712,123.49997,79063.3251488,9600699.71053,121.430507665
2013-05-16,114.22,118.96999,112.1,118.21,45071.6821968,5202992.37289,115.438166922
2013-05-15,111.29998,116.44,103.01847,114.22,117898.23045,12997994.7973,110.24758173
2013-05-14,117.97968,119.80002,109.42198,111.4,87726.0930121,10075279.7325,114.849292686
2013-05-13,114.82,118.88,114.5002,117.97968,26134.0109218,3058207.49451,117.020211848
2013-05-12,115.65,117.47,112.4,114.82002,20575.1868152,2357929.41077,114.600631914
2013-05-11,117.59001,118.74,113.0,115.64,28023.4740086,3238018.29287,115.546641072
2013-05-10,112.799,122.5,111.54,117.7,77443.6726805,9140709.08396,118.030418336
2013-05-09,113.48999,113.71852,108.8,112.799,26894.4582044,3003068.41066,111.661234736
2013-05-08,109.69773,116.777,109.5,113.2,61680.3247035,6990518.95761,113.334665328
2013-05-07,112.245,114.0,97.52,109.60013,139626.72486,14898971.6737,106.705730502
2013-05-06,115.9372,124.9,106.01,112.25,150048.99059,17604384.7154,117.324246209
2013-05-05,112.9,118.85,107.0,115.98,84177.8425556,9553872.25689,113.496283189
2013-05-04,98.10246,116.3,92.0,112.9,132582.589109,14143158.9817,106.674330896
2013-05-03,106.5,109.0,79.0,98.1,246411.174125,22496255.3326,91.2955973381
2013-05-02,116.37999,126.9,91.11,106.25,234129.171815,24932099.5273,106.488650407
2013-05-01,139.00004,140.06,104.0,116.37999,179988.852961,21787942.859,121.051623479
2013-04-30,143.80001,146.93,134.0,139.2269,65198.5771434,9119200.98952,139.868098187
2013-04-29,134.4,149.08,133.0,143.99991,70186.3332034,9983975.07711,142.249560868
2013-04-28,128.00011,136.68,127.5,134.44444,27503.1118092,3662548.48225,133.168512263
2013-04-27,136.89,139.88,122.71,128.00011,59870.7915156,7853806.4907,131.179266081
2013-04-26,141.71001,144.987,121.45164,136.90001,128988.666638,17058551.4279,132.24845153
2013-04-25,154.9,162.0,120.089,141.71002,187632.736632,26844741.7371,143.070672096
2013-04-24,143.476,166.43438,140.96635,154.2,225857.243784,34345816.9795,152.068697927
2013-04-23,127.39999,144.019,124.97,143.475,116098.208046,15630270.3866,134.629729861
2013-04-22,118.5,127.39999,118.5,127.39999,59118.3483972,7285334.38526,123.233050022
2013-04-21,126.61553,130.49979,110.0,119.2,99128.5567737,12043904.1015,121.497825586
2013-04-20,118.48001,132.0,115.0,126.61552,74351.505014,9221372.14342,124.0240146
